Value, Category, Count,  Acreage
1, Corn, 179842, 139363.5
4, Sorghum, 9, 7.0
5, Soybeans, 665646, 515823.6
6, Sunflowers, 14344, 11115.5
21, Barley, 3281, 2542.5
22, Durum Wheat, 51, 39.5
23, Spring Wheat, 236324, 183132.6
24, Winter Wheat, 1450, 1123.6
25, Other Small Grains, 226, 175.1
27, Rye, 18, 13.9
28, Oats, 679, 526.2
29, Millet, 167, 129.4
31, Canola, 688, 533.1
32, Flaxseed, 1218, 943.9
36, Alfalfa, 12664, 9813.6
39, Buckwheat, 28, 21.7
41, Sugarbeets, 26467, 20509.9
42, Dry Beans, 7463, 5783.2
43, Potatoes, 778, 602.9
47, Misc Vegs & Fruits, 4, 3.1
52, Lentils, 4, 3.1
53, Peas, 93, 72.1
63, Forest, 12445, 9643.9
82, Developed, 106571, 82584.2
87, Wetlands, 33531, 25983.9
111, Open Water, 12475, 9667.1
121, Developed/Open Space, 7, 5.4
122, Developed/Low Intensity, 2, 1.5
131, Barren, 43, 33.3
176, Grass/Pasture, 143479, 111185.0
190, Woody Wetlands, 7, 5.4
