Value, Category, Count,  Acreage
1, Corn, 280129, 62299.2
5, Soybeans, 2129880, 473673.9
6, Sunflowers, 112969, 25123.7
21, Barley, 30695, 6826.4
22, Durum Wheat, 492, 109.4
23, Spring Wheat, 1408689, 313284.9
24, Winter Wheat, 16550, 3680.6
25, Other Small Grains, 29677, 6600.0
28, Oats, 5679, 1263.0
31, Canola, 34416, 7653.9
32, Flaxseed, 1, 0.2
36, Alfalfa, 2542, 565.3
41, Sugarbeets, 59806, 13300.5
42, Dry Beans, 153077, 34043.5
43, Potatoes, 1, 0.2
53, Peas, 2, 0.4
61, Fallow/Idle Cropland, 186582, 41494.8
63, Forest, 16066, 3573.0
81, Clouds/No Data, 27718, 6164.3
82, Developed, 151298, 33647.9
83, Water, 25992, 5780.5
176, Grass/Pasture, 413663, 91996.4
