Value, Category, Count,  Acreage
1, Corn, 233766, 51988.3
5, Soybeans, 1210893, 269296.1
6, Sunflowers, 215368, 47896.7
21, Barley, 353683, 78657.2
22, Durum Wheat, 9466, 2105.2
23, Spring Wheat, 1450504, 322584.3
25, Other Small Grains, 23891, 5313.2
41, Sugarbeets, 64122, 14260.4
42, Dry Beans, 252284, 56106.6
43, Potatoes, 11092, 2466.8
44, Other Crops, 27376, 6088.3
61, Fallow/Idle Cropland, 300306, 66786.4
81, Clouds/No Data, 4982, 1108.0
82, Developed, 240895, 53573.8
83, Water, 155991, 34691.6
176, Grass/Pasture, 523858, 116503.2
