Value, Category, Count,  Acreage
1, Corn, 328422, 73039.3
5, Soybeans, 1438338, 319878.7
6, Sunflowers, 265411, 59026.0
21, Barley, 111746, 24851.7
22, Durum Wheat, 211443, 47023.8
23, Spring Wheat, 1411874, 313993.2
25, Other Small Grains, 76342, 16978.1
29, Millet, 5586, 1242.3
41, Sugarbeets, 43337, 9637.9
42, Dry Beans, 251536, 55940.3
43, Potatoes, 916, 203.7
44, Other Crops, 3550, 789.5
61, Fallow/Idle Cropland, 176939, 39350.3
82, Developed, 157351, 34994.0
83, Water, 5660, 1258.8
176, Grass/Pasture, 597423, 132863.7
