Value, Category, Count,  Acreage
1, Corn, 265734, 59097.8
5, Soybeans, 1317109, 292918.0
6, Sunflowers, 182679, 40626.8
21, Barley, 255455, 56811.8
22, Durum Wheat, 630, 140.1
23, Spring Wheat, 1733524, 385526.5
25, Other Small Grains, 57866, 12869.1
41, Sugarbeets, 74640, 16599.5
42, Dry Beans, 100953, 22451.4
43, Potatoes, 87072, 19364.3
44, Other Crops, 16591, 3689.7
61, Fallow/Idle Cropland, 213034, 47377.6
81, Clouds/No Data, 295903, 65807.2
83, Water, 106615, 23710.6
176, Grass/Pasture, 369768, 82234.4
