Value, Category, Count,  Acreage
1, Corn, 738305, 164195.1
5, Soybeans, 2034056, 452363.2
6, Sunflowers, 85643, 19046.5
21, Barley, 3778, 840.2
23, Spring Wheat, 1074710, 239009.8
24, Winter Wheat, 16707, 3715.5
25, Other Small Grains, 4554, 1012.8
29, Millet, 5791, 1287.9
31, Canola, 35, 7.8
36, Alfalfa, 9187, 2043.1
41, Sugarbeets, 26730, 5944.6
42, Dry Beans, 33352, 7417.3
53, Peas, 19323, 4297.3
61, Fallow/Idle Cropland, 185625, 41282.0
81, Clouds/No Data, 167486, 37248.0
82, Developed, 321571, 71515.7
83, Water, 14531, 3231.6
176, Grass/Pasture, 344540, 76623.9
