Value, Category, Count,  Acreage
1, Corn, 234275, 52101.5
5, Soybeans, 1423038, 316476.0
6, Sunflowers, 16884, 3754.9
21, Barley, 2164, 481.3
23, Spring Wheat, 1238902, 275525.2
24, Winter Wheat, 8878, 1974.4
25, Other Small Grains, 54268, 12068.9
31, Canola, 115, 25.6
36, Alfalfa, 28466, 6330.7
41, Sugarbeets, 89098, 19814.9
42, Dry Beans, 173790, 38650.0
43, Potatoes, 16246, 3613.0
61, Fallow/Idle Cropland, 299628, 66635.7
81, Clouds/No Data, 148, 32.9
82, Developed, 67737, 15064.3
83, Water, 84333, 18755.2
176, Grass/Pasture, 1346684, 299495.3
