Value, Category, Count,  Acreage
1, Corn, 255222, 56760.0
5, Soybeans, 2085819, 463875.0
6, Sunflowers, 29459, 6551.5
21, Barley, 16367, 3639.9
22, Durum Wheat, 226, 50.3
23, Spring Wheat, 1314107, 292250.4
25, Other Small Grains, 66794, 14854.6
31, Canola, 365, 81.2
41, Sugarbeets, 67487, 15008.7
42, Dry Beans, 18366, 4084.5
44, Other Crops, 227, 50.5
61, Fallow/Idle Cropland, 589067, 131005.3
63, Forest, 19413, 4317.3
81, Clouds/No Data, 6122, 1361.5
82, Developed, 150743, 33524.4
83, Water, 158690, 35291.8
176, Grass/Pasture, 307450, 68375.2
