Value, Category, Count,  Acreage
1, Corn, 604425, 134420.9
5, Soybeans, 2028249, 451071.7
6, Sunflowers, 72469, 16116.7
21, Barley, 35383, 7869.0
23, Spring Wheat, 1193037, 265325.0
24, Winter Wheat, 2028, 451.0
25, Other Small Grains, 7111, 1581.4
28, Oats, 286, 63.6
31, Canola, 7, 1.6
32, Flaxseed, 123, 27.4
36, Alfalfa, 46222, 10279.5
41, Sugarbeets, 93756, 20850.8
42, Dry Beans, 27515, 6119.2
43, Potatoes, 3, 0.7
61, Fallow/Idle Cropland, 356922, 79377.5
63, Forest, 4799, 1067.3
81, Clouds/No Data, 744, 165.5
82, Developed, 103076, 22923.6
83, Water, 27057, 6017.3
176, Grass/Pasture, 482712, 107352.6
