Value, Category, Count,  Acreage
1, Corn, 184368, 41002.5
5, Soybeans, 1863395, 414409.1
6, Sunflowers, 79609, 17704.6
21, Barley, 181062, 40267.2
22, Durum Wheat, 2758, 613.4
23, Spring Wheat, 1782617, 396444.5
25, Other Small Grains, 43776, 9735.5
29, Millet, 31536, 7013.4
41, Sugarbeets, 43687, 9715.8
42, Dry Beans, 68399, 15211.6
43, Potatoes, 302, 67.2
44, Other Crops, 14270, 3173.6
61, Fallow/Idle Cropland, 172714, 38410.7
81, Clouds/No Data, 77538, 17244.0
82, Developed, 109094, 24261.9
83, Water, 1396, 310.5
176, Grass/Pasture, 429399, 95496.0
